TEAM,PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Dallas Mavericks,"
Reggie Bullock
",29:53,3,6,50.0,3,5,60.0,1,1,100,0,2,2,1,0,0,2,3,10,-11
Dallas Mavericks,"
Dorian Finney-Smith
",38:12,2,4,50.0,1,2,50.0,0,0,0.0,0,3,3,0,2,0,0,4,5,-10
Dallas Mavericks,"
JaVale McGee
",14:08,1,3,33.3,0,0,0.0,1,4,25.0,1,3,4,1,1,1,2,1,3,-5
Dallas Mavericks,"
Spencer Dinwiddie
",27:31,6,11,54.5,3,5,60.0,0,2,0.0,0,3,3,3,0,0,0,4,15,2
Dallas Mavericks,"
Luka Doncic
",36:40,10,23,43.5,2,10,20.0,13,13,100,0,9,9,6,1,0,4,3,35,-16
Dallas Mavericks,"
Tim Hardaway Jr.",25:01,3,10,30.0,1,5,20.0,2,2,100,0,2,2,1,1,0,2,1,9,-2
Dallas Mavericks,"
Christian Wood",24:17,9,15,60.0,4,7,57.1,3,10,30.0,1,7,8,2,0,1,1,2,25,9
Dallas Mavericks,"
Maxi Kleber",26:21,1,3,33.3,0,1,0.0,0,0,0.0,1,4,5,1,0,1,0,2,2,5
Dallas Mavericks,"
Josh Green",17:57,0,0,0.0,0,0,0.0,1,2,50.0,2,2,4,2,1,1,1,2,1,18
Dallas Mavericks,"
Reggie Bullock
",24:04,3,5,60.0,2,4,50.0,0,0,0.0,0,3,3,0,1,0,0,2,8,28
Dallas Mavericks,"
Dorian Finney-Smith
",27:07,3,6,50.0,1,4,25.0,0,1,0.0,3,2,5,1,1,1,1,2,7,28
Dallas Mavericks,"
JaVale McGee
",13:01,3,4,75.0,0,0,0.0,0,0,0.0,2,4,6,1,0,2,1,3,6,2
Dallas Mavericks,"
Spencer Dinwiddie
",28:22,6,13,46.2,3,5,60.0,0,0,0.0,0,2,2,2,0,0,3,2,15,23
Dallas Mavericks,"
Luka Doncic
",29:58,12,23,52.2,4,9,44.4,4,5,80.0,2,5,7,10,2,2,3,2,32,31
Dallas Mavericks,"
Christian Wood",25:06,6,12,50.0,1,3,33.3,12,14,85.7,4,8,12,3,0,1,2,4,25,22
Dallas Mavericks,"
Tim Hardaway Jr.",25:53,3,10,30.0,2,6,33.3,8,8,100,0,2,2,2,0,0,0,1,16,23
Dallas Mavericks,"
Maxi Kleber",21:25,3,5,60.0,2,3,66.7,1,2,50.0,2,6,8,0,2,0,1,1,9,14
Dallas Mavericks,"
Josh Green",15:27,1,1,100,1,1,100,2,2,100,0,0,0,1,0,0,1,5,5,10
Dallas Mavericks,"
Dwight Powell",7:06,0,0,0.0,0,0,0.0,1,2,50.0,0,0,0,0,0,1,1,2,1,8
Dallas Mavericks,"
Theo Pinson",7:00,0,0,0.0,0,0,0.0,2,2,100,0,2,2,1,0,0,0,0,2,8
Dallas Mavericks,"
Jaden Hardy",6:16,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,2,0,0,3
Dallas Mavericks,"
McKinley Wright IV",4:58,1,4,25.0,0,1,0.0,0,0,0.0,1,1,2,2,1,0,0,0,2,3
Dallas Mavericks,"
Tyler Dorsey",4:17,4,4,100,1,1,100,0,0,0.0,1,1,2,0,0,0,0,0,9,2
Dallas Mavericks,"
Reggie Bullock
",35:03,1,8,12.5,1,6,16.7,0,0,0.0,1,4,5,2,2,0,0,4,3,-2
Dallas Mavericks,"
Dorian Finney-Smith
",34:43,2,5,40.0,0,2,0.0,0,0,0.0,2,2,4,2,0,1,1,2,4,-4
Dallas Mavericks,"
JaVale McGee
",12:16,3,5,60.0,0,0,0.0,2,4,50.0,1,1,2,0,1,1,0,1,8,0
Dallas Mavericks,"
Spencer Dinwiddie
",37:59,8,15,53.3,4,8,50.0,4,5,80.0,0,2,2,5,0,0,2,2,24,-15
Dallas Mavericks,"
Luka Doncic
",36:20,16,30,53.3,2,13,15.4,3,5,60.0,3,8,11,7,2,1,3,3,37,6
Dallas Mavericks,"
Christian Wood",29:28,8,10,80.0,3,3,100,4,6,66.7,2,4,6,0,1,0,3,1,23,8
Dallas Mavericks,"
Maxi Kleber",27:37,1,3,33.3,1,3,33.3,4,4,100,2,3,5,0,0,2,2,2,7,-7
Dallas Mavericks,"
Josh Green",13:37,1,2,50.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,1,2,4
Dallas Mavericks,"
Facundo Campazzo",12:57,1,4,25.0,1,3,33.3,0,0,0.0,0,0,0,2,2,0,0,0,3,0
Dallas Mavericks,"
Reggie Bullock
",41:36,3,7,42.9,2,6,33.3,1,2,50.0,0,4,4,1,2,1,0,3,9,7
Dallas Mavericks,"
Dorian Finney-Smith
",39:37,2,7,28.6,1,6,16.7,1,2,50.0,1,2,3,1,0,0,1,4,6,0
Dallas Mavericks,"
JaVale McGee
",11:56,2,5,40.0,0,0,0.0,4,4,100,3,0,3,0,0,0,3,0,8,-8
Dallas Mavericks,"
Spencer Dinwiddie
",27:39,4,8,50.0,3,5,60.0,0,0,0.0,0,3,3,5,1,0,2,3,11,-20
Dallas Mavericks,"
Luka Doncic
",40:30,14,28,50.0,2,6,33.3,11,13,84.6,1,10,11,14,3,0,5,2,41,20
Dallas Mavericks,"
Tim Hardaway Jr.",30:17,6,13,46.2,4,8,50.0,2,2,100,0,2,2,1,0,2,1,1,18,-1
Dallas Mavericks,"
Christian Wood",24:23,3,5,60.0,2,2,100,3,4,75.0,0,6,6,0,0,1,3,5,11,2
Dallas Mavericks,"
Maxi Kleber",32:54,4,5,80.0,3,4,75.0,4,6,66.7,1,0,1,1,0,0,1,2,15,15
Dallas Mavericks,"
Josh Green",13:21,3,3,100,3,3,100,1,2,50.0,1,3,4,1,1,0,1,2,10,3
Dallas Mavericks,"
Facundo Campazzo",2:47,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,1,0,2
Dallas Mavericks,"
Reggie Bullock
",37:49,2,5,40.0,2,5,40.0,1,1,100,2,2,4,1,0,0,2,4,7,-20
Dallas Mavericks,"
Dorian Finney-Smith
",35:00,5,15,33.3,3,9,33.3,0,0,0.0,4,1,5,1,0,2,1,4,13,-7
Dallas Mavericks,"
Dwight Powell
",18:28,5,7,71.4,0,1,0.0,3,3,100,0,2,2,0,0,0,0,1,13,7
Dallas Mavericks,"
Spencer Dinwiddie
",35:27,8,13,61.5,2,6,33.3,2,3,66.7,0,2,2,2,1,0,2,3,20,2
Dallas Mavericks,"
Luka Doncic
",40:00,8,23,34.8,0,6,0.0,15,19,78.9,2,14,16,10,1,0,3,6,31,-25
Dallas Mavericks,"
Tim Hardaway Jr.",22:11,2,7,28.6,1,3,33.3,3,4,75.0,0,2,2,1,1,0,2,3,8,3
Dallas Mavericks,"
Christian Wood",28:45,5,10,50.0,0,2,0.0,1,2,50.0,1,6,7,0,0,1,3,5,11,-7
Dallas Mavericks,"
Maxi Kleber",28:28,1,8,12.5,0,6,0.0,0,0,0.0,1,4,5,0,1,2,1,2,2,-8
Dallas Mavericks,"
Josh Green",15:09,2,5,40.0,0,2,0.0,2,2,100,2,3,5,1,4,0,2,0,6,24
Dallas Mavericks,"
Jaden Hardy",3:43,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,2,0,1
Dallas Mavericks,"
Reggie Bullock
",28:51,2,5,40.0,2,3,66.7,0,0,0.0,0,0,0,0,1,0,0,3,6,10
Dallas Mavericks,"
Dorian Finney-Smith
",29:10,5,7,71.4,3,5,60.0,0,0,0.0,1,7,8,0,2,0,0,3,13,-1
Dallas Mavericks,"
JaVale McGee
",8:52,0,2,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,1,0,-12
Dallas Mavericks,"
Spencer Dinwiddie
",31:31,5,13,38.5,0,4,0.0,2,2,100,0,4,4,5,3,0,1,3,12,-9
Dallas Mavericks,"
Luka Doncic
",36:55,17,26,65.4,2,9,22.2,8,14,57.1,0,3,3,5,1,0,0,3,44,13
Dallas Mavericks,"
Christian Wood",23:30,2,6,33.3,0,1,0.0,1,1,100,1,9,10,0,0,0,2,2,5,7
Dallas Mavericks,"
Tim Hardaway Jr.",27:07,5,15,33.3,3,9,33.3,8,8,100,0,1,1,3,1,0,0,2,21,9
Dallas Mavericks,"
Maxi Kleber",24:58,1,3,33.3,0,2,0.0,0,0,0.0,0,2,2,2,1,0,0,2,2,17
Dallas Mavericks,"
Josh Green",17:08,2,3,66.7,1,2,50.0,1,2,50.0,1,1,2,0,1,0,1,1,6,1
Dallas Mavericks,"
Dwight Powell",11:58,2,3,66.7,0,0,0.0,1,1,100,2,2,4,0,0,1,0,2,5,10
Dallas Mavericks,"
Reggie Bullock
",28:59,1,4,25.0,1,4,25.0,0,1,0.0,1,1,2,1,0,0,1,2,3,-4
Dallas Mavericks,"
Dorian Finney-Smith
",26:06,2,6,33.3,0,3,0.0,0,0,0.0,0,2,2,0,1,1,0,0,4,0
Dallas Mavericks,"
JaVale McGee
",7:59,2,2,100,0,0,0.0,0,0,0.0,0,2,2,0,1,0,0,1,4,-7
Dallas Mavericks,"
Spencer Dinwiddie
",35:10,8,20,40.0,4,11,36.4,0,0,0.0,1,3,4,5,4,0,1,1,20,9
Dallas Mavericks,"
Luka Doncic
",35:28,12,20,60.0,2,6,33.3,7,10,70.0,0,5,5,11,2,0,5,3,33,-3
Dallas Mavericks,"
Christian Wood",23:10,10,15,66.7,1,5,20.0,0,0,0.0,2,8,10,0,0,0,3,0,21,-7
Dallas Mavericks,"
Tim Hardaway Jr.",20:46,1,9,11.1,1,6,16.7,0,0,0.0,0,1,1,2,0,0,1,2,3,-2
Dallas Mavericks,"
Maxi Kleber",25:01,0,0,0.0,0,0,0.0,0,0,0.0,0,5,5,1,0,2,0,2,0,-4
Dallas Mavericks,"
Josh Green",18:45,2,3,66.7,2,3,66.7,0,2,0.0,1,0,1,0,0,0,0,2,6,8
Dallas Mavericks,"
Dwight Powell",18:36,4,5,80.0,0,0,0.0,1,2,50.0,2,3,5,0,1,1,0,1,9,25
Dallas Mavericks,"
Reggie Bullock
",25:21,1,7,14.3,0,5,0.0,0,0,0.0,1,3,4,2,3,1,2,3,2,12
Dallas Mavericks,"
Dorian Finney-Smith
",30:42,4,7,57.1,2,5,40.0,1,2,50.0,2,2,4,0,1,0,3,1,11,-2
Dallas Mavericks,"
Dwight Powell
",26:20,3,6,50.0,0,0,0.0,3,4,75.0,1,1,2,2,0,0,0,3,9,8
Dallas Mavericks,"
Spencer Dinwiddie
",37:59,8,17,47.1,3,8,37.5,2,2,100,0,1,1,7,2,0,2,4,21,0
Dallas Mavericks,"
Luka Doncic
",36:33,10,15,66.7,3,6,50.0,12,14,85.7,1,7,8,6,3,1,4,4,35,8
Dallas Mavericks,"
Christian Wood",22:45,5,8,62.5,1,2,50.0,2,2,100,0,5,5,1,1,1,1,1,13,-6
Dallas Mavericks,"
Tim Hardaway Jr.",19:06,2,8,25.0,2,6,33.3,0,0,0.0,0,2,2,3,1,0,2,2,6,-6
Dallas Mavericks,"
Maxi Kleber",16:50,1,4,25.0,0,1,0.0,0,0,0.0,0,2,2,2,0,0,3,0,2,-16
Dallas Mavericks,"
Josh Green",20:06,3,3,100,1,1,100,0,0,0.0,1,1,2,0,1,0,0,3,7,1
Dallas Mavericks,"
JaVale McGee",4:18,2,2,100,0,0,0.0,1,1,100,0,1,1,0,0,0,1,0,5,6
Dallas Mavericks,"Reggie Bullock
",22:04,0,5,0.0,0,3,0.0,0,0,0.0,0,1,1,1,2,0,0,2,0,-18
Dallas Mavericks,"
Dorian Finney-Smith
",35:01,5,9,55.6,2,5,40.0,6,6,100,1,2,3,1,1,0,4,1,18,-7
Dallas Mavericks,"
JaVale McGee
",3:25,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-4
Dallas Mavericks,"
Spencer Dinwiddie
",27:53,1,8,12.5,0,3,0.0,0,0,0.0,2,4,6,5,0,0,4,3,2,-3
Dallas Mavericks,"
Luka Doncic
",38:25,11,22,50.0,5,9,55.6,9,12,75.0,0,6,6,6,2,1,5,5,36,1
Dallas Mavericks,"
Christian Wood",20:34,3,9,33.3,0,1,0.0,0,0,0.0,2,4,6,1,1,0,4,2,6,-1
Dallas Mavericks,"
Tim Hardaway Jr.",13:48,4,8,50.0,2,4,50.0,1,2,50.0,0,1,1,1,0,0,0,0,11,6
Dallas Mavericks,"
Maxi Kleber",29:24,2,3,66.7,1,1,100,0,0,0.0,2,3,5,1,0,1,0,3,5,18
Dallas Mavericks,"
Josh Green",26:48,5,5,100,2,2,100,4,4,100,1,4,5,2,0,0,2,2,16,11
Dallas Mavericks,"
Dwight Powell",22:38,1,2,50.0,0,0,0.0,0,0,0.0,4,4,8,0,1,1,2,2,2,7
Dallas Mavericks,"
Reggie Bullock
",25:49,0,3,0.0,0,2,0.0,0,0,0.0,0,3,3,0,0,0,0,4,0,-4
Dallas Mavericks,"
Dorian Finney-Smith
",30:43,3,6,50.0,2,5,40.0,0,0,0.0,0,1,1,1,1,1,1,0,8,-4
Dallas Mavericks,"
Dwight Powell
",18:50,1,2,50.0,0,0,0.0,0,0,0.0,0,4,4,0,3,0,1,4,2,-10
